"Hrapx","Hrapy","Lat","Lon","Globvalue"
"365",571.6667,557.6667,43.278,-95.7759,0.1617
"366",657.8333,69,25.627,-95.4229,0.1617
"367",447.1667,200.9167,31.2385,-103.0746,0.1617
"368",361.25,633.75,47.3369,-107.2944,0.1625
"369",400.25,642.8333,47.3901,-104.9882,0.1625
"370",210.25,686.6667,48.8405,-116.7479,0.1625
"371",233.5833,686.25,48.8473,-115.3266,0.1625
"372",859.0833,546.1667,40.4461,-81.4954,0.1625
"373",386.4167,663.1667,48.2992,-105.84,0.1625
"374",448.1667,549.6667,43.8674,-102.394,0.1625
"375",821.75,588.75,42.3573,-82.3989,0.1625
"376",320.5833,636.3333,47.3175,-109.7236,0.1633
"377",1537.75,195.1667,18.1729,-66.0189,0.1633
"378",400.5,288.1667,34.46,-105,0.1633
"379",389.3333,638.25,47.2861,-105.6381,0.1633
"380",373.6667,647.4167,47.5711,-106.5855,0.1642
"381",400.3333,635.5,47.3077,-104.9759,0.1642
"382",827.9167,540.6667,40.4802,-83.0686,0.1642
"383",372.9167,634,47.1866,-106.6094,0.1642
"384",680.6667,426.0833,37.4552,-91.6894,0.1642
"385",493.5,573.75,44.5044,-99.8259,0.1642
"386",816.8333,434.8333,37.2281,-85.3449,0.1642
"387",352.5,655.5,47.7945,-107.8757,0.1642
"388",419.5,307.0833,34.9635,-104.1511,0.1642
"389",748.75,504.3333,39.9403,-87.4351,0.1642
"390",869.8333,551.4167,40.4962,-80.8988,0.165
"391",424.5,669.4167,48.2726,-103.561,0.165
"392",453.75,210.75,31.6226,-102.7993,0.165
"393",787.8333,463.9167,38.1968,-86.2473,0.165
"394",496.9167,560.75,43.9874,-99.7046,0.165
"395",363.25,668.5,48.4622,-107.2689,0.165
"396",448,656.0833,47.87,-102.1347,0.165
"397",235.5,684.25,48.8769,-115.1939,0.165
"398",698.4167,420.75,37.2456,-90.8703,0.165
"399",534.0833,550,43.6476,-97.7583,0.165
"400",415.9167,670.5,48.1239,-104.0565,0.165
"401",865.3333,573.25,41.2785,-80.6562,0.165
"402",409.0833,637.6667,47.2956,-104.4757,0.165
"403",237.1667,681.9167,48.8585,-115.0767,0.1658
"404",221.5833,687.25,48.8867,-116.0672,0.1658
"405",710.5,444.5,38.2514,-90.0074,0.1658
"406",488.25,536.25,43.1077,-100.3167,0.1658
"407",249.5,681,48.834,-114.3159,0.1658
"408",361.75,643.4167,47.4318,-107.2886,0.1658
"409",383.25,650.5,47.5934,-106.013,0.1667
"410",482.8333,549.75,43.8397,-100.515,0.1667
"411",503.9167,288.75,33.9225,-100.4937,0.1667
"412",253.5,685.5833,49.0546,-114.1188,0.1667
"413",432.0833,659.1667,48.0983,-103.0792,0.1667
"414",521.0833,634.6667,46.8344,-97.9147,0.1675
"415",417.5833,652.0833,47.5974,-103.9642,0.1675
"416",639.6667,71.4167,25.973,-96.0804,0.1675
"417",425.3333,660.75,48.3474,-103.4792,0.1675
"418",456,669.5,48.2399,-101.629,0.1675
"419",174.0833,692.4167,48.8618,-118.9996,0.1675
"420",768.4167,553.75,41.8975,-85.6298,0.1675
"421",400,635.4167,47.2464,-105.021,0.1675
"422",758.1667,551.25,41.4939,-86.272,0.1675
"423",806.3333,590.5,42.6283,-83.1084,0.1675
"424",701.4167,423.75,37.4957,-90.704,0.1675
"425",349.25,671.4167,48.3909,-108.13,0.1675
"426",464,46.1667,26.0344,-102.6602,0.1675
"427",241.4167,684.6667,48.9076,-114.8401,0.1675
"428",415.0833,601.25,45.8896,-104.1622,0.1683
"429",406.6667,668.8333,48.2523,-104.6164,0.1683
"430",419.5833,289.5,34.4239,-104.154,0.1683
"431",805.5833,566.8333,41.85,-83.5979,0.1683
"432",600.0833,431.3333,38.4854,-95.2915,0.1683
"433",376.8333,667.0833,48.3809,-106.4389,0.1683
"434",475.5,555.5833,43.9402,-100.8948,0.1683
"435",454.5833,661.3333,47.9544,-101.7173,0.1683
"436",493,263.4167,33.245,-101.0295,0.1683
"437",442.3333,653.5833,47.5596,-102.4896,0.1692
"438",778.6667,435,37.4358,-87.0594,0.1692
"439",746.3333,213.5833,30.1923,-91.0066,0.1692
"440",257.3333,682,48.9976,-113.8532,0.1692
"441",424.9167,632.25,47.2058,-103.5359,0.1692
"442",671.25,413.4167,37.2852,-92.1883,0.1692
"443",376.5833,659.25,47.8372,-106.436,0.1692
"444",388.5833,669.1667,48.2956,-105.7298,0.17
"445",538.8333,668.75,48.1787,-96.616,0.17
"446",401.5833,643.0833,47.3936,-104.9081,0.17
"447",232.4167,684.8333,48.9304,-115.3936,0.17
"448",520.5,663.6667,48.1312,-97.7196,0.17
"449",499.75,255.8333,32.9907,-100.7658,0.17
"450",347.4167,651.0833,47.6012,-108.1559,0.17
"451",509.5,63.1667,26.1947,-100.91,0.17
"452",202.3333,688.5833,48.8798,-117.2475,0.1708
"453",874.4167,234,29.5479,-85.8856,0.1708
"454",1514.1667,194.5833,18.6066,-66.6163,0.1708
"455",440.5833,544.4167,43.1493,-102.8491,0.1708
"456",518.1667,672.8333,48.1993,-97.8648,0.1717
"457",852.5,592.6667,42.116,-80.8503,0.1717
"458",431.1667,664.1667,48.1406,-103.1386,0.1717
"459",802.6667,574.3333,42.1652,-83.6003,0.1717
"460",593.8333,83.3333,26.1612,-97.6866,0.1717
"461",532.25,536.8333,43.1047,-97.9343,0.1725
"462",780.4167,130.3333,26.6012,-90.5135,0.1725
"463",739.5833,428.8333,37.462,-88.9043,0.1725
"464",545.0833,64.6667,26.2133,-99.5945,0.1725
"465",752.9167,430.6667,37.2421,-88.3534,0.1725
"466",418.4167,654.9167,47.7551,-103.924,0.1725
"467",338.6667,671.6667,48.2837,-108.7656,0.1725
"468",812.3333,598.3333,42.8895,-82.6651,0.1725
"469",413.9167,294.4167,34.7478,-104.4112,0.1725
"470",833.75,597.3333,42.4392,-81.6464,0.1725
"471",340.0833,646.6667,47.7164,-108.6157,0.1733
"472",593.1667,569.5,44.0073,-94.4459,0.1733
"473",474.5,594.25,45.4035,-100.8057,0.1733
"474",604.75,452.6667,38.1939,-95.0575,0.1733
"475",826.3333,219.25,29.5706,-87.8701,0.1733
"476",474.5833,661.9167,48.2258,-100.5046,0.1733
"477",465.5833,668.75,48.151,-101.0512,0.1742
"478",539.4167,16.25,24.9998,-99.9888,0.1742
"479",511.1667,90.9167,26.908,-100.747,0.1742
"480",502.8333,560.6667,43.9768,-99.3758,0.1742
"481",332.6667,671.8333,48.5153,-109.1599,0.1742
"482",584.4167,587.9167,44.575,-94.7495,0.1742
"483",406.3333,633.25,47.1823,-104.6229,0.1742
